STATION,STATION_NAME,DATE,HPCP
COOP:221852,COLLINS MS US,20000729 11:00,0.10
COOP:221852,COLLINS MS US,20000731 13:00,0.20
COOP:221852,COLLINS MS US,20000801 01:00,0.00
COOP:221852,COLLINS MS US,20000802 16:00,0.50
COOP:221852,COLLINS MS US,20000802 17:00,1.00
COOP:221852,COLLINS MS US,20000802 18:00,0.30
COOP:221852,COLLINS MS US,20000808 12:00,0.10
COOP:221852,COLLINS MS US,20000810 19:00,0.20
COOP:221852,COLLINS MS US,20000810 20:00,0.20
COOP:221852,COLLINS MS US,20000828 18:00,0.20
COOP:221852,COLLINS MS US,20000828 20:00,0.10
COOP:221852,COLLINS MS US,20000831 17:00,0.10
COOP:221852,COLLINS MS US,20000831 18:00,0.10
COOP:221852,COLLINS MS US,20000901 01:00,0.00
COOP:221852,COLLINS MS US,20000902 15:00,0.10
COOP:221852,COLLINS MS US,20000908 10:00,0.10
COOP:221852,COLLINS MS US,20000908 17:00,0.10
COOP:221852,COLLINS MS US,20000909 16:00,0.10
COOP:221852,COLLINS MS US,20000912 12:00,0.20
COOP:221852,COLLINS MS US,20000912 13:00,0.20
COOP:221852,COLLINS MS US,20000912 19:00,0.20
COOP:221852,COLLINS MS US,20000912 20:00,0.60
COOP:221852,COLLINS MS US,20000912 21:00,0.20
COOP:221852,COLLINS MS US,20000913 05:00,0.10
COOP:221852,COLLINS MS US,20000921 18:00,1.60
COOP:221852,COLLINS MS US,20000921 19:00,0.10
COOP:221852,COLLINS MS US,20000921 20:00,0.10
COOP:221852,COLLINS MS US,20001001 01:00,0.00
COOP:221852,COLLINS MS US,20001006 10:00,0.60
COOP:221852,COLLINS MS US,20001006 11:00,0.20
COOP:221852,COLLINS MS US,20001006 12:00,0.30
COOP:221852,COLLINS MS US,20001006 13:00,0.10
COOP:221852,COLLINS MS US,20001010 09:00,999.99
COOP:221852,COLLINS MS US,20001010 22:00,999.99
COOP:221852,COLLINS MS US,20001011 13:00,0.10
COOP:221852,COLLINS MS US,20001101 01:00,0.00
COOP:221852,COLLINS MS US,20001104 21:00,0.10
COOP:221852,COLLINS MS US,20001105 00:00,0.10
COOP:221852,COLLINS MS US,20001105 01:00,0.10
COOP:221852,COLLINS MS US,20001105 02:00,0.10
COOP:221852,COLLINS MS US,20001105 03:00,0.10
COOP:221852,COLLINS MS US,20001105 18:00,0.20
COOP:221852,COLLINS MS US,20001105 19:00,0.10
COOP:221852,COLLINS MS US,20001106 11:00,0.10
COOP:221852,COLLINS MS US,20001106 12:00,0.10
COOP:221852,COLLINS MS US,20001106 13:00,0.10
COOP:221852,COLLINS MS US,20001107 17:00,0.10
COOP:221852,COLLINS MS US,20001107 18:00,0.40
COOP:221852,COLLINS MS US,20001107 19:00,0.10
COOP:221852,COLLINS MS US,20001107 22:00,0.10
COOP:221852,COLLINS MS US,20001108 14:00,0.20
COOP:221852,COLLINS MS US,20001108 15:00,0.10
COOP:221852,COLLINS MS US,20001108 16:00,0.10
COOP:221852,COLLINS MS US,20001109 00:00,0.10
COOP:221852,COLLINS MS US,20001109 01:00,0.40
COOP:221852,COLLINS MS US,20001109 02:00,2.00
COOP:221852,COLLINS MS US,20001109 03:00,0.20
COOP:221852,COLLINS MS US,20001115 12:00,0.10
COOP:221852,COLLINS MS US,20001116 10:00,0.10
COOP:221852,COLLINS MS US,20001116 11:00,0.20
COOP:221852,COLLINS MS US,20001116 12:00,0.20
COOP:221852,COLLINS MS US,20001116 13:00,0.40
COOP:221852,COLLINS MS US,20001116 15:00,0.10
COOP:221852,COLLINS MS US,20001116 16:00,0.10
COOP:221852,COLLINS MS US,20001118 10:00,0.10
COOP:221852,COLLINS MS US,20001118 11:00,0.10
COOP:221852,COLLINS MS US,20001118 14:00,0.10
COOP:221852,COLLINS MS US,20001118 15:00,0.10
COOP:221852,COLLINS MS US,20001118 16:00,0.10
COOP:221852,COLLINS MS US,20001118 17:00,0.10
COOP:221852,COLLINS MS US,20001118 18:00,0.20
COOP:221852,COLLINS MS US,20001118 19:00,0.10
COOP:221852,COLLINS MS US,20001118 21:00,0.10
COOP:221852,COLLINS MS US,20001118 22:00,0.20
COOP:221852,COLLINS MS US,20001118 23:00,0.10
COOP:221852,COLLINS MS US,20001119 01:00,0.10
COOP:221852,COLLINS MS US,20001119 04:00,0.10
COOP:221852,COLLINS MS US,20001119 05:00,0.20
COOP:221852,COLLINS MS US,20001119 06:00,0.20
COOP:221852,COLLINS MS US,20001119 07:00,0.10
COOP:221852,COLLINS MS US,20001123 08:00,0.10
COOP:221852,COLLINS MS US,20001124 09:00,0.10
COOP:221852,COLLINS MS US,20001124 10:00,0.30
COOP:221852,COLLINS MS US,20001124 11:00,0.20
COOP:221852,COLLINS MS US,20001124 13:00,0.20
COOP:221852,COLLINS MS US,20001124 14:00,0.20
COOP:221852,COLLINS MS US,20001124 15:00,0.10
COOP:221852,COLLINS MS US,20001201 01:00,0.00
COOP:221852,COLLINS MS US,20001201 02:00,999.99
COOP:221852,COLLINS MS US,20010101 00:00,999.99
COOP:221852,COLLINS MS US,20010101 01:00,999.99
COOP:221852,COLLINS MS US,20010201 00:00,999.99
COOP:221852,COLLINS MS US,20010201 01:00,0.00
COOP:221852,COLLINS MS US,20010209 18:00,0.20
COOP:221852,COLLINS MS US,20010209 19:00,0.10
COOP:221852,COLLINS MS US,20010209 21:00,0.10
COOP:221852,COLLINS MS US,20010213 01:00,0.10
COOP:221852,COLLINS MS US,20010213 21:00,0.10
COOP:221852,COLLINS MS US,20010216 16:00,0.60
COOP:221852,COLLINS MS US,20010216 17:00,0.20
COOP:221852,COLLINS MS US,20010225 02:00,0.10
COOP:221852,COLLINS MS US,20010225 03:00,0.10
COOP:221852,COLLINS MS US,20010226 16:00,0.10
COOP:221852,COLLINS MS US,20010226 17:00,0.20
COOP:221852,COLLINS MS US,20010226 18:00,0.20
COOP:221852,COLLINS MS US,20010226 19:00,0.20
COOP:221852,COLLINS MS US,20010226 20:00,0.10
COOP:221852,COLLINS MS US,20010227 17:00,0.20
COOP:221852,COLLINS MS US,20010301 01:00,0.00
COOP:221852,COLLINS MS US,20010301 02:00,999.99
COOP:221852,COLLINS MS US,20010304 07:00,9.40
COOP:221852,COLLINS MS US,20010309 13:00,0.10
COOP:221852,COLLINS MS US,20010312 03:00,0.10
COOP:221852,COLLINS MS US,20010312 06:00,0.20
COOP:221852,COLLINS MS US,20010312 07:00,0.50
COOP:221852,COLLINS MS US,20010312 08:00,0.40
COOP:221852,COLLINS MS US,20010312 10:00,0.10
COOP:221852,COLLINS MS US,20010314 18:00,0.10
COOP:221852,COLLINS MS US,20010314 19:00,0.10
COOP:221852,COLLINS MS US,20010314 20:00,0.20
COOP:221852,COLLINS MS US,20010314 21:00,0.60
COOP:221852,COLLINS MS US,20010314 22:00,0.10
COOP:221852,COLLINS MS US,20010314 23:00,0.10
COOP:221852,COLLINS MS US,20010322 21:00,0.20
COOP:221852,COLLINS MS US,20010322 22:00,0.10
COOP:221852,COLLINS MS US,20010323 03:00,0.10
COOP:221852,COLLINS MS US,20010324 02:00,0.10
COOP:221852,COLLINS MS US,20010324 03:00,0.10
COOP:221852,COLLINS MS US,20010324 04:00,0.20
COOP:221852,COLLINS MS US,20010324 05:00,0.10
COOP:221852,COLLINS MS US,20010324 07:00,0.10
COOP:221852,COLLINS MS US,20010401 01:00,999.99
COOP:221852,COLLINS MS US,20010404 22:00,999.99
COOP:221852,COLLINS MS US,20010415 16:00,0.10
COOP:221852,COLLINS MS US,20010415 17:00,0.20
COOP:221852,COLLINS MS US,20010424 04:00,0.40
COOP:221852,COLLINS MS US,20010424 05:00,0.10
COOP:221852,COLLINS MS US,20010424 12:00,0.10
COOP:221852,COLLINS MS US,20010424 15:00,0.10
COOP:221852,COLLINS MS US,20010501 01:00,0.00
COOP:221852,COLLINS MS US,20010509 13:00,0.20
COOP:221852,COLLINS MS US,20010509 14:00,0.10
COOP:221852,COLLINS MS US,20010510 00:00,0.30
COOP:221852,COLLINS MS US,20010510 01:00,0.10
COOP:221852,COLLINS MS US,20010521 07:00,999.99
COOP:221852,COLLINS MS US,20010601 00:00,999.99
COOP:221852,COLLINS MS US,20010601 01:00,0.00
COOP:221852,COLLINS MS US,20010606 04:00,0.10
COOP:221852,COLLINS MS US,20010606 05:00,0.70
COOP:221852,COLLINS MS US,20010606 07:00,0.10
COOP:221852,COLLINS MS US,20010606 09:00,0.10
COOP:221852,COLLINS MS US,20010606 10:00,0.50
COOP:221852,COLLINS MS US,20010606 11:00,0.20
COOP:221852,COLLINS MS US,20010606 14:00,0.10
COOP:221852,COLLINS MS US,20010606 15:00,0.10
COOP:221852,COLLINS MS US,20010606 16:00,0.10
COOP:221852,COLLINS MS US,20010606 17:00,0.10
COOP:221852,COLLINS MS US,20010607 05:00,0.20
COOP:221852,COLLINS MS US,20010607 15:00,0.50
COOP:221852,COLLINS MS US,20010607 16:00,0.30
COOP:221852,COLLINS MS US,20010607 18:00,0.10
COOP:221852,COLLINS MS US,20010607 20:00,0.10
COOP:221852,COLLINS MS US,20010608 18:00,0.90
COOP:221852,COLLINS MS US,20010608 19:00,0.10
COOP:221852,COLLINS MS US,20010608 20:00,0.20
